,January,February,March,April,May,June,July,August,September,October,November,December
Fort Worth,"['36', '32', '37', '45', '51', '55', '61', '56', '48', '46', '47', '46', '43', '40', '45', '54', '52', '57', '37', '37', '46', '55', '39', '46', '40', '44', '48', '51', '37', '40', '45']","['54', '57', '63', '64', '67', '69', '63', '37', '34', '38', '56', '48', '49', '63', '64', '45', '49', '42', '39', '43', '47', '47', '58', '46', '53', '54', '57', '46']","['53', '49', '46', '34', '35', '43', '57', '71', '71', '59', '55', '61', '67', '59', '50', '52', '57', '58', '60', '59', '63', '63', '63', '70', '65', '61', '62', '64', '65', '61', '50']","['51', '56', '56', '75', '69', '72', '71', '72', '76', '76', '71', '60', '59', '56', '65', '65', '75', '67', '60', '67', '70', '69', '71', '66', '70', '68', '72', '69', '69', '74']","['77', '77', '70', '72', '71', '74', '72', '74', '69', '54', '58', '66', '71', '73', '76', '76', '74', '78', '78', '77', '77', '75', '79', '79', '80', '79', '77', '78', '82', '76', '79']","['82', '80', '83', '80', '80', '82', '75', '82', '83', '74', '74', '77', '78', '78', '81', '82', '79', '82', '86', '84', '85', '83', '83', '79', '81', '80', '82', '84', '84', '80']","['79', '81', '81', '81', '83', '85', '87', '86', '86', '89', '89', '84', '85', '82', '83', '88', '86', '85', '86', '86', '86', '87', '81', '79', '79', '80', '83', '86', '85', '89', '88']","['89', '89', '82', '83', '86', '88', '89', '89', '90', '89', '90', '91', '92', '85', '89', '90', '89', '90', '90', '91', '89', '88', '87', '85', '87', '89', '81', '82', '85', '87', '85']","['83', '86', '86', '87', '88', '90', '90', '87', '85', '86', '85', '83', '85', '86', '87', '47', '84', '81', '80', '83', '82', '82', '84', '83', '84', '84', '82', '82', '83', '80']","['80', '83', '84', '79', '81', '84', '67', '69', '71', '80', '52', '55', '64', '67', '79', '61', '62', '63', '74', '75', '66', '67', '66', '64', '52', '56', '62', '62', '49', '46', '41']","['46', '51', '54', '63', '62', '70', '55', '47', '55', '61', '55', '33', '38', '44', '51', '51', '55', '59', '66', '67', '70', '52', '48', '56', '63', '68', '47', '47', '57', '68']","['49', '48', '55', '58', '59', '55', '52', '60', '67', '40', '45', '46', '54', '55', '63', '44', '38', '47', '46', '45', '48', '50', '55', '55', '58', '61', '64', '62', '49', '45', '49']"
Columbus,"['39', '30', '31', '35', '37', '36', '45', '47', '31', '32', '31', '32', '31', '28', '24', '32', '30', '35', '32', '13', '-1', '25', '42', '27', '11', '21', '27', '36', '19', '0', '4']","['23', '31', '43', '48', '42', '56', '53', '31', '25', '29', '35', '47', '31', '42', '36', '30', '31', '30', '31', '39', '37', '37', '46', '42', '33', '33', '30', '30']","['35', '31', '27', '21', '16', '18', '27', '33', '41', '44', '42', '43', '45', '63', '44', '39', '38', '37', '41', '46', '48', '42', '42', '47', '45', '40', '46', '53', '54', '52', '34']","['40', '44', '51', '52', '56', '60', '60', '64', '61', '56', '62', '65', '61', '64', '45', '58', '66', '70', '55', '52', '51', '61', '65', '59', '58', '54', '53', '51', '58', '57']","['73', '73', '66', '56', '61', '65', '70', '66', '68', '60', '59', '55', '51', '58', '62', '67', '75', '77', '73', '65', '56', '69', '74', '73', '79', '78', '72', '78', '77', '69', '73']","['73', '69', '62', '69', '69', '74', '69', '73', '69', '69', '68', '68', '64', '64', '69', '74', '72', '71', '75', '73', '68', '69', '72', '73', '73', '77', '80', '79', '80', '80']","['76', '82', '81', '80', '81', '82', '79', '76', '77', '82', '81', '76', '77', '79', '81', '77', '76', '81', '83', '83', '84', '70', '69', '69', '73', '76', '76', '78', '77', '75', '77']","['74', '75', '76', '76', '77', '76', '75', '76', '71', '72', '73', '75', '77', '77', '76', '75', '77', '80', '79', '81', '76', '75', '68', '67', '68', '63', '72', '70', '69', '73', '70']","['73', '72', '75', '74', '67', '68', '69', '67', '72', '77', '79', '79', '80', '69', '72', '44', '73', '70', '71', '75', '76', '76', '73', '66', '69', '69', '69', '77', '72', '79']","['81', '80', '79', '59', '61', '71', '58', '60', '64', '67', '65', '48', '53', '54', '60', '49', '50', '54', '55', '62', '63', '56', '53', '58', '56', '52', '56', '58', '59', '55', '58']","['38', '41', '42', '47', '47', '45', '40', '32', '36', '44', '48', '23', '23', '32', '32', '37', '40', '44', '43', '44', '47', '43', '38', '40', '45', '47', '53', '37', '36', '40']","['49', '37', '34', '38', '38', '43', '37', '42', '51', '32', '30', '32', '40', '41', '32', '34', '31', '22', '25', '29', '36', '41', '47', '45', '46', '50', '56', '47', '56', '44', '33']"
Charlotte,"['62', '50', '49', '53', '49', '53', '49', '56', '48', '41', '37', '37', '36', '38', '42', '44', '44', '48', '50', '49', '29', '33', '41', '55', '38', '36', '42', '41', '46', '32', '31']","['40', '48', '52', '54', '59', '67', '68', '65', '45', '40', '47', '57', '51', '51', '57', '50', '42', '54', '41', '39', '49', '51', '46', '61', '53', '51', '52', '49']","['47', '49', '41', '44', '40', '37', '45', '42', '47', '61', '58', '53', '57', '65', '65', '51', '51', '51', '47', '46', '54', '53', '55', '60', '61', '53', '48', '59', '62', '67', '60']","['45', '42', '60', '65', '60', '67', '66', '69', '72', '68', '69', '71', '72', '71', '58', '60', '69', '72', '70', '52', '57', '65', '74', '78', '72', '69', '67', '72', '67', '78']","['78', '78', '78', '78', '73', '73', '74', '75', '74', '75', '72', '70', '72', '64', '68', '73', '81', '85', '82', '82', '81', '76', '79', '87', '88', '89', '88', '90', '89', '89', '86']","['79', '85', '80', '76', '82', '75', '76', '76', '75', '79', '75', '62', '76', '71', '75', '81', '85', '82', '79', '85', '81', '79', '78', '86', '84', '82', '85', '85', '86', '87']","['84', '90', '89', '85', '85', '83', '87', '89', '79', '82', '85', '84', '86', '87', '87', '89', '89', '88', '88', '89', '88', '87', '74', '76', '78', '79', '80', '83', '84', '84', '86']","['86', '81', '81', '78', '79', '83', '85', '86', '88', '82', '82', '84', '86', '87', '85', '85', '84', '87', '86', '77', '84', '85', '84', '71', '71', '73', '67', '80', '76', '81', '80']","['77', '81', '83', '81', '75', '83', '84', '84', '85', '83', '86', '88', '81', '76', '80', '46', '83', '71', '68', '71', '76', '78', '80', '79', '78', '83', '79', '81', '84', '76']","['79', '84', '88', '85', '65', '71', '74', '67', '69', '68', '75', '74', '69', '72', '68', '65', '59', '64', '57', '65', '66', '71', '63', '65', '67', '68', '77', '68', '67', '66', '75']","['50', '55', '51', '54', '63', '59', '61', '44', '43', '51', '56', '46', '35', '37', '44', '42', '46', '44', '49', '52', '52', '57', '54', '51', '54', '54', '57', '53', '49', '52']","['61', '45', '43', '49', '51', '52', '50', '44', '51', '63', '43', '40', '40', '52', '50', '57', '63', '40', '39', '45', '42', '42', '47', '56', '49', '53', '57', '60', '63', '62', '49']"
San Francisco,"['48', '46', '48', '49', '51', '53', '55', '54', '54', '52', '54', '52', '54', '52', '52', '54', '53', '54', '56', '52', '52', '52', '52', '54', '54', '56', '57', '56', '54', '55', '55']","['53', '54', '53', '48', '47', '48', '48', '48', '50', '49', '50', '50', '55', '53', '50', '49', '48', '49', '48', '50', '50', '49', '51', '51', '52', '54', '55', '58']","['55', '54', '55', '55', '52', '55', '51', '51', '49', '53', '55', '55', '55', '55', '58', '62', '62', '65', '62', '56', '58', '55', '56', '59', '57', '59', '56', '57', '58', '60', '63']","['65', '58', '59', '58', '57', '60', '65', '65', '60', '61', '59', '62', '65', '59', '54', '59', '65', '72', '68', '58', '63', '69', '74', '74', '70', '70', '67', '65', '63', '61']","['66', '65', '66', '64', '58', '59', '63', '65', '63', '68', '65', '64', '62', '60', '59', '55', '58', '54', '57', '60', '57', '63', '66', '64', '61', '56', '58', '64', '67', '61', '68']","['70', '66', '68', '74', '75', '65', '65', '73', '77', '83', '80', '77', '72', '67', '61', '65', '70', '72', '70', '66', '70', '75', '77', '70', '69', '64', '64', '66', '67', '68']","['65', '65', '66', '68', '70', '68', '63', '62', '65', '67', '69', '70', '72', '69', '71', '68', '70', '68', '69', '68', '70', '73', '70', '75', '73', '72', '76', '75', '65', '64', '70']","['67', '69', '73', '70', '68', '69', '64', '64', '68', '70', '71', '74', '76', '81', '81', '78', '68', '65', '66', '66', '70', '71', '74', '71', '75', '78', '76', '74', '68', '70', '75']","['78', '75', '72', '72', '67', '68', '64', '67', '67', '65', '73', '79', '82', '76', '65', '49', '66', '66', '67', '72', '75', '72', '70', '79', '80', '74', '64', '62', '60', '60']","['62', '65', '62', '63', '72', '73', '74', '69', '64', '65', '67', '69', '64', '65', '66', '61', '62', '61', '62', '63', '69', '73', '73', '77', '75', '69', '64', '60', '63', '59', '64']","['65', '67', '68', '68', '69', '63', '68', '66', '66', '63', '68', '67', '63', '57', '59', '63', '69', '66', '58', '60', '56', '58', '60', '61', '55', '50', '50', '47', '48', '48']","['55', '58', '58', '54', '56', '58', '59', '58', '59', '55', '58', '60', '56', '53', '51', '51', '51', '53', '56', '56', '56', '53', '51', '49', '50', '51', '51', '52', '53', '54', '54']"
Indianapolis,"['32', '25', '30', '37', '38', '37', '42', '42', '31', '31', '31', '32', '31', '21', '30', '31', '31', '31', '29', '9', '3', '28', '35', '22', '9', '19', '20', '29', '9', '-4', '1']","['27', '34', '46', '50', '35', '52', '57', '23', '22', '29', '34', '41', '29', '40', '27', '28', '31', '29', '28', '37', '34', '36', '44', '36', '31', '31', '30', '29']","['34', '28', '22', '14', '16', '20', '28', '34', '39', '39', '40', '44', '51', '59', '41', '38', '40', '40', '43', '43', '43', '42', '46', '45', '45', '42', '46', '53', '54', '49', '36']","['38', '46', '52', '55', '56', '62', '61', '65', '60', '51', '64', '55', '54', '45', '45', '61', '65', '63', '45', '42', '59', '63', '64', '57', '62', '57', '52', '50', '58', '55']","['69', '69', '60', '54', '62', '68', '70', '66', '68', '55', '55', '49', '50', '61', '59', '69', '75', '78', '70', '58', '55', '66', '76', '76', '79', '77', '75', '78', '76', '74', '73']","['75', '68', '69', '73', '74', '77', '73', '70', '73', '66', '75', '71', '58', '66', '67', '76', '73', '76', '77', '69', '73', '72', '74', '70', '75', '79', '82', '82', '82', '83']","['81', '84', '84', '83', '84', '83', '77', '76', '79', '83', '80', '74', '81', '82', '82', '78', '80', '85', '85', '85', '85', '72', '70', '69', '73', '75', '77', '78', '77', '79', '73']","['75', '74', '74', '77', '80', '76', '77', '78', '75', '72', '75', '78', '80', '79', '75', '75', '76', '82', '81', '83', '79', '76', '70', '66', '68', '67', '75', '70', '73', '75', '69']","['70', '74', '76', '72', '67', '70', '69', '67', '73', '79', '79', '82', '80', '73', '74', '45', '73', '74', '74', '78', '78', '76', '72', '70', '70', '68', '72', '77', '76', '81']","['80', '81', '76', '60', '61', '66', '64', '64', '65', '68', '63', '46', '54', '55', '60', '47', '51', '54', '57', '64', '62', '51', '54', '57', '54', '53', '57', '59', '55', '47', '42']","['38', '41', '44', '49', '45', '46', '37', '31', '37', '43', '37', '17', '20', '29', '34', '36', '39', '39', '40', '44', '49', '40', '35', '39', '45', '46', '46', '35', '39', '40']","['39', '34', '34', '39', '41', '43', '38', '43', '52', '27', '29', '34', '38', '38', '29', '31', '29', '21', '22', '28', '33', '37', '45', '44', '47', '56', '52', '47', '59', '36', '31']"
Seattle,"['37', '42', '49', '43', '42', '42', '42', '41', '47', '50', '48', '46', '43', '45', '44', '44', '48', '45', '49', '45', '43', '44', '47', '45', '46', '46', '43', '45', '44', '44', '46']","['48', '44', '40', '29', '28', '30', '33', '34', '33', '29', '33', '37', '35', '37', '39', '37', '37', '36', '39', '38', '38', '39', '41', '38', '36', '36', '40', '41']","['42', '41', '42', '40', '40', '38', '37', '41', '41', '46', '44', '44', '45', '49', '53', '55', '56', '61', '63', '66', '58', '56', '55', '56', '53', '53', '55', '58', '57', '60', '54']","['60', '62', '56', '60', '54', '49', '56', '54', '57', '48', '49', '52', '47', '49', '53', '54', '56', '58', '55', '56', '60', '53', '58', '56', '56', '60', '49', '55', '57', '60']","['58', '54', '60', '64', '65', '68', '68', '68', '75', '78', '79', '68', '64', '53', '63', '64', '59', '68', '66', '60', '60', '69', '74', '55', '53', '63', '74', '70', '69', '72', '78']","['75', '72', '67', '68', '59', '58', '55', '62', '66', '72', '75', '85', '78', '69', '73', '76', '73', '67', '60', '63', '67', '64', '59', '67', '73', '70', '65', '67', '73', '75']","['79', '63', '70', '73', '71', '68', '66', '73', '73', '65', '74', '76', '75', '76', '68', '74', '62', '65', '70', '72', '83', '79', '75', '72', '76', '84', '73', '74', '80', '70', '80']","['79', '74', '74', '79', '85', '83', '82', '68', '74', '72', '67', '76', '77', '80', '78', '69', '70', '70', '71', '76', '63', '71', '72', '71', '68', '70', '75', '81', '73', '72', '75']","['75', '74', '77', '72', '73', '77', '75', '65', '63', '68', '68', '73', '68', '66', '60', '51', '56', '63', '65', '66', '64', '61', '59', '63', '65', '63', '55', '53', '52', '55']","['58', '58', '58', '57', '58', '59', '59', '49', '50', '52', '57', '55', '57', '56', '55', '54', '55', '52', '51', '48', '51', '57', '52', '56', '53', '50', '49', '48', '45', '45', '46']","['48', '50', '51', '52', '50', '50', '51', '52', '51', '53', '51', '48', '51', '51', '52', '51', '55', '50', '49', '46', '47', '45', '44', '49', '45', '39', '39', '37', '38', '39']","['37', '43', '45', '46', '47', '48', '48', '48', '45', '42', '45', '45', '44', '43', '40', '38', '42', '43', '44', '49', '44', '42', '43', '39', '39', '38', '40', '42', '44', '46', '48']"
Denver,"['10', '27', '37', '45', '42', '43', '41', '40', '40', '43', '31', '30', '28', '31', '32', '35', '38', '32', '31', '40', '37', '24', '27', '23', '27', '29', '37', '21', '22', '29', '32']","['35', '39', '44', '37', '41', '32', '14', '27', '33', '31', '29', '35', '44', '47', '40', '32', '23', '16', '16', '25', '25', '24', '27', '29', '35', '40', '33', '42']","['37', '26', '8', '14', '22', '30', '39', '41', '37', '33', '40', '51', '32', '26', '33', '38', '40', '42', '36', '45', '47', '47', '46', '46', '48', '55', '59', '58', '50', '33', '40']","['47', '47', '51', '57', '59', '58', '60', '62', '66', '53', '27', '32', '38', '52', '60', '58', '50', '51', '59', '67', '61', '45', '55', '60', '53', '64', '57', '65', '41', '46']","['49', '50', '56', '59', '63', '55', '54', '43', '34', '46', '55', '59', '67', '70', '71', '71', '64', '54', '51', '48', '33', '44', '47', '58', '62', '67', '67', '54', '50', '59', '66']","['65', '71', '71', '71', '69', '73', '76', '75', '49', '66', '67', '62', '74', '71', '65', '69', '68', '63', '70', '74', '59', '56', '56', '68', '71', '76', '79', '81', '81', '79']","['72', '75', '78', '78', '74', '70', '75', '75', '78', '73', '82', '82', '81', '77', '82', '82', '85', '86', '86', '81', '75', '74', '76', '79', '70', '80', '79', '77', '79', '79', '80']","['73', '77', '80', '78', '77', '81', '79', '74', '78', '75', '73', '76', '78', '77', '81', '80', '75', '80', '82', '81', '76', '77', '75', '76', '81', '68', '67', '76', '79', '76', '78']","['83', '85', '74', '78', '80', '76', '76', '69', '74', '72', '74', '66', '68', '75', '76', '53', '74', '70', '74', '74', '67', '63', '67', '73', '70', '73', '67', '64', '73', '73']","['60', '60', '57', '67', '57', '53', '61', '63', '65', '25', '36', '51', '57', '60', '52', '62', '66', '57', '51', '44', '42', '49', '51', '31', '45', '56', '25', '20', '13', '11', '31']","['29', '40', '45', '40', '48', '43', '42', '54', '59', '55', '22', '44', '48', '44', '53', '52', '46', '53', '53', '43', '27', '29', '37', '44', '37', '20', '16', '26', '32', '28']","['29', '39', '43', '40', '35', '36', '41', '39', '28', '35', '38', '39', '37', '33', '25', '26', '27', '38', '36', '37', '43', '44', '45', '43', '40', '35', '33', '23', '21', '23', '27']"
Washington,"['57', '41', '42', '43', '46', '46', '40', '52', '43', '38', '36', '32', '34', '31', '35', '36', '31', '40', '37', '37', '16', '24', '43', '49', '33', '31', '38', '34', '38', '26', '18']","['27', '34', '42', '46', '53', '47', '60', '61', '34', '33', '40', '38', '43', '46', '54', '39', '37', '45', '37', '34', '46', '41', '42', '55', '42', '42', '39', '38']","['41', '40', '36', '34', '36', '27', '34', '38', '41', '57', '54', '45', '50', '61', '65', '48', '47', '44', '45', '49', '49', '47', '44', '53', '55', '45', '50', '53', '64', '67', '50']","['43', '47', '57', '63', '53', '63', '66', '71', '72', '65', '61', '64', '75', '70', '57', '60', '67', '72', '70', '69', '62', '64', '76', '69', '71', '64', '62', '67', '59', '72']","['72', '81', '79', '77', '65', '70', '76', '67', '73', '74', '63', '62', '55', '56', '66', '72', '77', '80', '84', '85', '66', '73', '82', '78', '80', '87', '79', '83', '90', '85', '82']","['84', '82', '72', '75', '77', '83', '78', '78', '71', '78', '73', '75', '75', '70', '77', '75', '84', '79', '83', '84', '76', '77', '84', '84', '83', '88', '91', '89', '87', '86']","['84', '87', '91', '88', '88', '89', '81', '75', '86', '84', '84', '86', '89', '90', '90', '89', '90', '89', '94', '95', '95', '88', '72', '80', '81', '84', '87', '87', '89', '89', '87']","['87', '81', '87', '86', '84', '86', '86', '85', '85', '81', '81', '85', '81', '84', '82', '85', '88', '90', '90', '89', '87', '88', '74', '74', '74', '71', '71', '81', '80', '84', '83']","['79', '83', '84', '86', '74', '72', '76', '80', '75', '80', '86', '87', '70', '75', '82', '46', '74', '72', '69', '74', '82', '84', '84', '75', '79', '79', '77', '81', '79', '69']","['75', '87', '76', '70', '60', '69', '75', '60', '60', '64', '65', '65', '63', '70', '69', '59', '55', '56', '61', '54', '63', '61', '62', '66', '63', '62', '73', '67', '64', '63', '72']","['49', '55', '50', '53', '57', '56', '55', '40', '40', '48', '58', '43', '35', '39', '45', '41', '41', '44', '50', '47', '48', '51', '42', '47', '50', '53', '57', '45', '43', '41']","['45', '43', '41', '43', '41', '44', '42', '40', '45', '56', '36', '37', '40', '49', '45', '35', '52', '36', '29', '36', '35', '41', '47', '47', '46', '49', '48', '55', '51', '66', '48']"
Boston,"['49', '27', '33', '37', '40', '40', '29', '39', '36', '30', '23', '22', '24', '25', '29', '34', '26', '36', '26', '34', '8', '18', '37', '50', '35', '24', '34', '29', '34', '27', '13']","['15', '25', '34', '45', '50', '35', '35', '50', '26', '29', '31', '26', '41', '36', '46', '37', '31', '31', '26', '27', '40', '36', '35', '43', '36', '24', '22', '26']","['32', '32', '31', '34', '22', '19', '19', '25', '32', '33', '39', '36', '38', '45', '53', '45', '37', '38', '38', '44', '46', '40', '43', '49', '44', '39', '40', '45', '49', '59', '48']","['41', '45', '51', '45', '43', '56', '58', '51', '43', '46', '47', '47', '64', '63', '63', '53', '55', '49', '65', '67', '61', '58', '54', '62', '57', '50', '53', '51', '55', '49']","['51', '49', '55', '57', '51', '55', '66', '62', '55', '57', '63', '46', '51', '46', '55', '61', '59', '65', '70', '78', '64', '64', '66', '67', '70', '79', '73', '56', '60', '65', '71']","['74', '71', '67', '66', '77', '73', '74', '71', '76', '75', '71', '74', '61', '68', '74', '67', '69', '65', '70', '69', '64', '74', '78', '73', '70', '71', '74', '82', '77', '74']","['75', '80', '81', '80', '84', '84', '71', '72', '83', '84', '80', '81', '83', '83', '80', '83', '82', '69', '83', '91', '91', '76', '66', '73', '74', '78', '79', '84', '85', '87', '84']","['80', '79', '82', '76', '75', '77', '80', '82', '79', '74', '75', '79', '77', '68', '72', '75', '76', '82', '85', '82', '83', '84', '77', '69', '64', '66', '71', '73', '76', '79', '76']","['68', '70', '71', '78', '67', '67', '63', '70', '65', '69', '76', '60', '63', '67', '74', '42', '63', '59', '59', '70', '76', '77', '80', '73', '67', '73', '69', '71', '67', '58']","['64', '70', '53', '60', '52', '60', '72', '60', '57', '54', '54', '56', '61', '61', '58', '58', '51', '54', '53', '57', '56', '55', '63', '59', '59', '55', '52', '54', '55', '62', '65']","['52', '49', '48', '48', '57', '48', '52', '35', '36', '45', '45', '47', '27', '33', '44', '33', '41', '41', '43', '41', '42', '49', '39', '46', '46', '49', '49', '44', '38', '34']","['33', '41', '31', '32', '36', '33', '29', '28', '46', '55', '30', '28', '37', '53', '43', '34', '34', '32', '19', '24', '29', '35', '40', '37', '36', '38', '42', '42', '38', '37', '44']"
El Paso,"['41', '31', '37', '37', '42', '50', '49', '47', '48', '53', '54', '48', '50', '48', '53', '56', '54', '55', '47', '48', '59', '48', '43', '47', '46', '47', '47', '52', '45', '51', '57']","['57', '56', '59', '60', '59', '55', '41', '47', '51', '53', '53', '46', '54', '61', '66', '59', '49', '51', '40', '42', '52', '55', '46', '49', '56', '59', '60', '62']","['64', '61', '63', '54', '53', '58', '67', '66', '52', '60', '63', '64', '50', '48', '48', '45', '50', '56', '59', '59', '62', '62', '60', '64', '66', '68', '72', '73', '70', '64', '54']","['53', '66', '66', '65', '68', '63', '67', '75', '78', '70', '57', '58', '57', '62', '72', '70', '62', '66', '70', '78', '74', '72', '67', '66', '75', '79', '80', '79', '77', '71']","['72', '76', '75', '77', '78', '77', '71', '68', '69', '63', '65', '69', '66', '76', '79', '82', '74', '70', '72', '73', '63', '74', '74', '76', '79', '82', '76', '71', '73', '78', '79']","['83', '83', '83', '81', '80', '83', '86', '87', '88', '68', '73', '83', '85', '86', '84', '83', '84', '85', '85', '85', '84', '80', '81', '85', '87', '88', '88', '86', '86', '86']","['90', '89', '88', '88', '88', '85', '82', '85', '88', '91', '88', '87', '89', '89', '91', '92', '89', '85', '87', '90', '95', '83', '78', '81', '84', '87', '88', '87', '87', '86', '86']","['85', '88', '89', '86', '86', '84', '90', '82', '87', '83', '82', '86', '90', '89', '86', '87', '88', '89', '88', '88', '87', '84', '84', '81', '85', '89', '91', '84', '83', '83', '82']","['84', '83', '82', '83', '81', '83', '83', '84', '80', '79', '78', '84', '82', '77', '71', '45', '79', '83', '81', '79', '79', '74', '79', '78', '80', '80', '77', '78', '80', '80']","['71', '73', '77', '74', '77', '79', '65', '72', '76', '73', '55', '58', '71', '69', '73', '64', '67', '72', '68', '69', '64', '67', '71', '61', '49', '58', '67', '66', '64', '54', '49']","['58', '50', '60', '68', '69', '67', '61', '52', '59', '66', '61', '40', '49', '54', '52', '57', '59', '61', '65', '62', '60', '53', '54', '56', '58', '57', '42', '54', '58', '46']","['47', '53', '53', '57', '58', '54', '57', '61', '49', '51', '50', '51', '56', '58', '58', '47', '38', '40', '43', '45', '49', '48', '50', '53', '49', '51', '52', '42', '36', '41', '42']"
Nashville,"['46', '39', '43', '50', '44', '49', '54', '55', '40', '34', '37', '42', '42', '37', '36', '45', '46', '45', '55', '27', '27', '41', '47', '35', '23', '34', '40', '46', '23', '21', '27']","['40', '50', '55', '58', '59', '65', '67', '36', '35', '45', '55', '57', '44', '51', '46', '41', '51', '36', '38', '54', '49', '49', '64', '54', '42', '47', '48', '42']","['47', '42', '42', '26', '29', '32', '40', '45', '59', '54', '52', '52', '63', '67', '48', '47', '50', '46', '50', '53', '51', '52', '52', '57', '60', '47', '55', '60', '62', '62', '43']","['44', '53', '61', '62', '65', '66', '68', '69', '70', '70', '74', '61', '65', '64', '55', '65', '69', '68', '49', '44', '65', '68', '70', '71', '69', '64', '64', '63', '72', '75']","['76', '75', '71', '66', '64', '74', '78', '77', '70', '69', '69', '62', '59', '66', '66', '76', '80', '80', '72', '75', '79', '81', '82', '84', '84', '84', '84', '83', '84', '74', '76']","['80', '80', '74', '79', '79', '73', '75', '79', '80', '76', '70', '73', '63', '71', '76', '83', '81', '75', '80', '77', '81', '84', '82', '76', '80', '83', '83', '83', '83', '87']","['85', '85', '84', '85', '86', '84', '85', '85', '86', '87', '86', '86', '84', '77', '76', '81', '82', '78', '86', '86', '84', '80', '74', '76', '77', '79', '82', '82', '82', '80', '82']","['83', '82', '84', '81', '84', '83', '82', '85', '84', '85', '87', '82', '86', '84', '82', '85', '85', '85', '87', '88', '86', '83', '83', '76', '75', '70', '81', '78', '78', '84', '82']","['81', '83', '86', '87', '77', '80', '75', '82', '83', '86', '85', '87', '87', '82', '86', '47', '85', '86', '78', '75', '77', '78', '76', '74', '77', '78', '81', '82', '85', '85']","['85', '86', '86', '73', '76', '73', '61', '63', '71', '70', '70', '55', '61', '66', '68', '57', '55', '59', '60', '67', '68', '57', '59', '63', '57', '68', '62', '64', '63', '61', '45']","['46', '47', '51', '52', '54', '56', '52', '37', '44', '51', '54', '22', '34', '41', '40', '42', '46', '47', '49', '52', '53', '52', '52', '44', '50', '54', '54', '43', '47', '54']","['47', '37', '39', '46', '50', '48', '49', '50', '60', '33', '37', '43', '44', '46', '45', '60', '37', '36', '39', '42', '47', '50', '54', '54', '57', '56', '59', '60', '66', '44', '40']"
Detroit,"['30', '24', '26', '32', '38', '32', '38', '40', '27', '28', '23', '29', '25', '27', '31', '28', '26', '30', '21', '8', '6', '21', '34', '24', '13', '11', '15', '18', '10', '-7', '-6']","['4', '26', '40', '44', '32', '32', '37', '25', '18', '25', '28', '35', '27', '35', '28', '23', '22', '23', '21', '27', '34', '29', '36', '38', '28', '20', '22', '26']","['25', '22', '18', '16', '16', '17', '23', '28', '32', '40', '35', '37', '38', '52', '42', '34', '33', '36', '39', '41', '45', '37', '38', '45', '37', '37', '42', '52', '40', '38', '31']","['34', '42', '45', '38', '45', '54', '55', '59', '55', '44', '39', '58', '50', '38', '44', '44', '48', '61', '43', '42', '56', '59', '60', '53', '49', '52', '45', '46', '41', '46']","['62', '59', '50', '54', '61', '65', '45', '52', '64', '51', '51', '49', '47', '57', '63', '65', '61', '60', '71', '54', '53', '58', '72', '64', '74', '71', '64', '71', '62', '62', '68']","['74', '63', '58', '69', '74', '66', '70', '70', '69', '65', '68', '68', '60', '65', '63', '60', '64', '71', '74', '61', '69', '68', '71', '75', '75', '79', '80', '82', '81', '74']","['77', '84', '79', '82', '85', '81', '74', '73', '78', '82', '82', '76', '80', '76', '79', '74', '79', '81', '86', '87', '78', '74', '73', '72', '78', '78', '78', '78', '80', '79', '72']","['72', '76', '78', '79', '82', '73', '77', '78', '75', '74', '77', '78', '72', '74', '73', '74', '79', '81', '77', '81', '82', '71', '69', '66', '69', '70', '76', '72', '71', '72', '67']","['68', '74', '74', '69', '68', '66', '70', '66', '66', '75', '82', '70', '76', '69', '71', '43', '71', '72', '70', '75', '79', '78', '73', '70', '72', '67', '68', '69', '60', '69']","['79', '66', '65', '56', '56', '65', '64', '64', '63', '63', '64', '47', '55', '48', '55', '51', '49', '52', '55', '60', '61', '53', '53', '55', '53', '49', '57', '55', '58', '45', '49']","['38', '41', '40', '49', '42', '40', '35', '34', '36', '42', '32', '22', '18', '28', '29', '28', '33', '38', '38', '40', '44', '37', '37', '39', '41', '44', '49', '36', '36', '36']","['42', '35', '33', '35', '34', '38', '33', '39', '47', '30', '24', '29', '36', '37', '30', '32', '31', '21', '23', '30', '35', '38', '43', '36', '41', '48', '47', '39', '46', '43', '31']"
